experiment_id,dataset_scope,split,features,sample_rate,normalization,augmentation,model,training_samples,validation_samples,val_accuracy,val_macro_f1,test_accuracy,test_macro_f1,test_balanced_accuracy,test_top3_accuracy,test_log_loss,training_time_s
EXP-01,['Kaggle'],GroupedByRecording,D,22050,P2,False,ExtraTrees,4986,1247,0.9310344827586207,0.9243290397451582,0.9211032713277743,0.916624070700868,0.916219306493582,0.9820397690827454,0.943185034994646,545.89
EXP-02,['Kaggle'],GroupedByRecording,D,22050,P2,False,SVM,4986,1247,0.44346431435445066,0.4247598091469203,0.43489416292495187,0.4157596086687188,0.4316521028208342,0.699807568954458,1.9286496378194384,35.16
EXP-03,['Kaggle'],GroupedByRecording,D,22050,P2,False,CNN,4986,1247,0.31836407377706494,0.2928400671464106,0.3431686978832585,0.3140276181629012,0.33386245423904626,0.6600384862091084,1.9848990440368652,176.89
EXP-04,['SKAID'],GroupedByRecording,D,22050,P2,False,ExtraTrees,6009,1011,0.03857566765578635,0.02595173866087373,0.09774436090225563,0.04633086993339992,0.06835208848076496,0.20864661654135339,3.1947299477403885,422.1
EXP-05,['SKAID'],GroupedByRecording,D,22050,P2,False,SVM,6009,1011,0.011869436201780416,0.00942716198530152,0.045112781954887216,0.027565562331440138,0.03581349206349206,0.10150375939849623,3.3490927503382193,6795.0
EXP-06,['SKAID'],GroupedByRecording,D,22050,P2,False,CNN,6009,1011,0.0019782393669634025,0.0033558366651373138,0.0037593984962406013,0.002403846153846154,0.001488095238095238,0.03759398496240601,3.5388033390045166,216.32
EXP-07,['MultiPressure'],GroupedByRecording,D,22050,P2,False,RandomForest,103,26,0.7307692307692307,0.7133333333333333,0.6666666666666666,0.5972222222222222,0.6904761904761905,0.6666666666666666,1.6276372252146025,10.74
EXP-08,"['Kaggle', 'MultiPressure', 'SKAID']",GroupedByRecording,D,22050,P2,False,ExtraTrees,11363,1987,0.6059386009058882,0.6127557995802392,0.698051948051948,0.7021857698896693,0.7216176408105796,0.7611317254174397,1.6425583379454023,1534.98
EXP-09,"['Kaggle', 'MultiPressure', 'SKAID']",GroupedByRecording,D,22050,P2,False,SVM,11363,1987,0.19174635128334172,0.14991790892629034,0.21985157699443414,0.1598460773994113,0.1988074287227646,0.4290352504638219,2.9197372918891937,364.64
EXP-10,"['Kaggle', 'MultiPressure', 'SKAID']",GroupedByRecording,D,22050,P2,False,CNN,11363,1987,0.28384499245093103,0.2938947824316154,0.325139146567718,0.32835069038229114,0.32588530113506875,0.5612244897959183,2.188523769378662,426.38
EXP-11,['SKAID'],GroupedByRecording,D,22050,P3,False,SVM,6009,1011,0.010880316518298714,0.007590132827324478,0.043233082706766915,0.026797612192633016,0.03427028218694885,0.10526315789473684,3.3549426014205515,430.03
EXP-12,['SKAID'],GroupedByRecording,D,22050,P4,False,SVM,6009,1011,0.011869436201780416,0.0075372628726287265,0.02819548872180451,0.019967980934444022,0.029769685652038594,0.08646616541353383,3.3626566504864623,443.14
EXP-13,['SKAID'],GroupedByRecording,C,22050,P2,False,SVM,6009,1011,0.011869436201780416,0.0095892957369196,0.041353383458646614,0.0207147730023547,0.027628968253968253,0.10526315789473684,3.3494239681269278,406.59
EXP-14,['Kaggle'],GroupedByRecording,C,22050,P2,False,SVM,4986,1247,0.4330392943063352,0.41088127359454885,0.4214239897370109,0.40078745497379853,0.4184738338310161,0.6850545221295702,1.9572872069822511,485.16
EXP-15,"['Kaggle', 'MultiPressure', 'SKAID']",GroupedByRecording,D,22050,P2,True,SVM,11363,1987,0.06743834927025667,0.03936849534392356,0.07560296846011132,0.04511028166651426,0.07159637024918289,0.21382189239332097,3.201535924371299,1123.35
EXP-16,"['Kaggle', 'MultiPressure', 'SKAID']",GroupedByRecording,D,22050,P2,False,SVM,7692,1273,0.3684210526315789,0.3176543875459138,0.3951005025125628,0.34006950853199197,0.38213603523097023,0.6419597989949749,2.390469126407451,694.32
EXP-17,['Kaggle'],GroupedByRecording,D,22050,P2,False,SVM,310,78,1.0,1.0,0.9795918367346939,0.9793771043771045,0.9818181818181818,1.0,0.04746140649940217,29.6
EXP-18,"['Kaggle', 'MultiPressure', 'SKAID']",GroupedByRecording,D,22050,P2,False,HistGradientBoosting,11363,1987,0.6024157020634122,0.6152748993883509,0.6961966604823747,0.7064750510322015,0.7225569737531636,0.7634508348794063,1.2105429120688853,57.09
EXP-19,"['Kaggle', 'MultiPressure', 'SKAID']",GroupedByRecording,D,22050,P2,False,CNN,11363,1987,0.23301459486663312,0.21886557290566888,0.26855287569573283,0.2450391560587112,0.27281120809729537,0.5231910946196661,2.322646141052246,87.24
EXP-20,"['Kaggle', 'MultiPressure', 'SKAID']",GroupedByRecording,D,22050,P2,False,WeightedEnsemble(HistGB+CNN),11363,1987,0.6024157020634122,0.6152748993883509,0.6961966604823747,0.7064750510322015,0.7225569737531636,0.7634508348794063,1.2105429120688853,57.09
